Date,WatchMarket,S&P500,Gold
20-Jan,100,100,100
20-Feb,100.9265006,102.7626023,102.5203895
20-Mar,102.4159943,72.54240277,101.4157269
20-Apr,100.1950528,84.61886912,109.2571831
20-May,102.7750687,87.06134151,109.2736706
20-Jun,103.4932175,93.22954194,112.0094968
20-Jul,104.9649792,98.09290151,124.0723032
20-Aug,106.1352957,102.5403659,123.6733056
20-Sep,108.1877826,103.402254,118.6578074
20-Oct,112.7227591,105.8994494,117.7806723
20-Nov,117.7409345,110.2642212,111.6104992
20-Dec,118.3526908,112.3227201,118.6286795
21-Jan,122.027662,114.5611971,115.3800919
21-Feb,124.7849987,119.5574121,107.1737123
21-Mar,129.0850253,120.6625138,105.6728
21-Apr,131.6561752,126.7878478,107.9332366
21-May,139.374058,126.8921257,115.4636286
21-Jun,145.4605905,129.1035451,106.321858
21-Jul,147.5973047,132.5523137,108.3751017
21-Aug,149.1577267,135.834785,108.2756271
21-Sep,151.5072258,136.2208866,104.4598694
21-Oct,154.4463162,135.9372387,105.1968608
21-Nov,160.2580016,142.3650697,104.2383873
21-Dec,163.2857523,143.1874356,107.0291719
22-Jan,174.598812,141.7585558,104.2394865
22-Feb,194.5917191,135.9281182,109.2643276
22-Mar,211.5258445,129.5857161,110.7707358
